ticket_id,customerID,ticket_open_date,ticket_close_date,issue_type,priority,status
TKT-0001723,GEN-04801,2026-02-26,2026-02-26,Service Interruption,High,Closed
TKT-0001724,6248-BSHKG,2025-08-13,,Service Interruption,High,Open
TKT-0001725,GEN-10837,2026-06-16,2026-06-27,Service Interruption,Medium,Closed
TKT-0001726,7243-LCGGZ,2026-06-19,,Service Interruption,Low,Open
TKT-0001727,GEN-09350,2025-11-17,2025-11-29,New Service Request,Low,Closed
TKT-0001728,6599-SFQVE,2026-02-19,2026-03-01,Technical Support,Medium,Closed
TKT-0001729,GEN-07312,2026-05-15,2026-05-22,Cancellation Request,Low,Closed
TKT-0001730,GEN-01763,2026-03-19,,Service Interruption,Medium,Open
TKT-0001731,GEN-08968,2025-08-22,,Service Interruption,Medium,Open
TKT-0001732,GEN-00902,2026-03-10,2026-03-14,Technical Support,Medium,Closed
TKT-0001733,GEN-12525,2025-08-13,2025-08-22,Service Interruption,Medium,Closed
TKT-0001734,GEN-03918,2025-09-07,2025-09-10,Service Interruption,Medium,Closed
TKT-0001735,GEN-10761,2026-06-06,2026-06-11,Technical Support,Medium,Closed
TKT-0001736,GEN-08195,2025-12-12,,Service Interruption,Low,Open
TKT-0001737,GEN-02723,2026-06-23,,Billing Inquiry,High,Pending Customer
TKT-0001738,GEN-08120,2026-02-04,2026-02-04,New Service Request,Medium,Closed
TKT-0001739,3284-SVCRO,2026-02-11,,Technical Support,Low,Pending Customer
TKT-0001740,GEN-01039,2025-10-22,2025-10-29,Billing Inquiry,Medium,Closed
TKT-0001741,GEN-04794,2026-04-19,,Service Interruption,Low,Pending Customer
TKT-0001742,GEN-10894,2025-09-23,2025-09-29,Technical Support,Low,Closed
TKT-0001743,2091-RFFBA,2025-12-12,2025-12-15,Billing Inquiry,Low,Closed
TKT-0001744,GEN-02078,2025-12-19,,Billing Inquiry,Low,Pending Customer
TKT-0001745,GEN-01834,2026-04-07,2026-04-16,Technical Support,Low,Closed
TKT-0001746,5762-TJXGK,2025-12-24,,Technical Support,Medium,Pending Customer
TKT-0001747,GEN-07833,2026-01-06,,Technical Support,Low,Pending Customer
TKT-0001748,GEN-05225,2026-01-29,,New Service Request,Medium,Open
TKT-0001749,GEN-01889,2026-02-18,2026-02-26,Billing Inquiry,Low,Closed
TKT-0001750,GEN-03219,2025-09-16,2025-09-21,Service Interruption,High,Closed
TKT-0001751,GEN-00106,2025-09-04,,Billing Inquiry,Low,Pending Customer
TKT-0001752,5047-LHVLY,2025-12-06,2025-12-08,Billing Inquiry,Low,Closed
TKT-0001753,GEN-08425,2025-10-21,2025-10-24,Technical Support,High,Closed
TKT-0001754,1291-CUOCY,2026-05-16,2026-05-19,Billing Inquiry,Low,Closed
TKT-0001755,GEN-05432,2025-09-23,2025-10-01,Technical Support,Medium,Closed
TKT-0001756,4774-HHGGS,2026-03-26,,Billing Inquiry,Medium,Pending Customer
TKT-0001757,GEN-06174,2025-09-23,2025-09-28,Cancellation Request,High,Closed
TKT-0001758,GEN-10448,2025-12-26,2026-01-02,Service Interruption,High,Closed
TKT-0001759,2233-FAGXV,2025-07-26,2025-07-27,Cancellation Request,High,Closed
 TKT-0001760 , 5685-IIXLY , 2025-09-03 , 2025-09-08 , Billing Inquiry , Low , Closed 
TKT-0001761,GEN-03331,2026-02-24,2026-03-03,Technical Support,Low,Closed
TKT-0001762,GEN-04925,2026-06-10,2026-06-20,New Service Request,Medium,Closed
TKT-0001763,1814-DKOLC,2026-02-05,2026-02-14,Service Interruption,Medium,Closed
TKT-0001764,GEN-03884,2025-12-04,2025-12-13,Technical Support,Low,Closed
TKT-0001765,GEN-03598,2025-11-16,2025-11-20,Billing Inquiry,Medium,Closed
TKT-0001766,GEN-09015,2026-05-16,2026-05-27,Service Interruption,Low,Closed
TKT-0001767,GEN-11357,2025-08-12,2025-08-24,Billing Inquiry,Low,Closed
TKT-0001768,GEN-09022,2025-11-03,,Service Interruption,Medium,Pending Customer
TKT-0001769,8894-JVDCV,2026-02-08,2026-02-21,Billing Inquiry,Low,Closed
TKT-0001770,4632-XJMEX,2025-12-21,2025-12-26,Service Interruption,Low,Closed
TKT-0001771,GEN-04755,2025-12-14,2025-12-27,Service Interruption,Low,Closed
TKT-0001772,GEN-01043,2025-08-31,2025-09-09,New Service Request,Low,Closed
TKT-0001773,GEN-00474,2026-06-18,2026-06-30,Technical Support,Medium,Closed
TKT-0001774,GEN-01090,2026-03-31,2026-04-13,Service Interruption,Low,Closed
TKT-0001775,GEN-10244,2026-05-29,2026-06-09,Billing Inquiry,Low,Closed
TKT-0001776,1306-RPWXZ,2025-10-19,2025-10-29,Technical Support,Medium,Closed
TKT-0001777,1090-PYKCI,2026-02-02,2026-02-09,Technical Support,Low,Closed
TKT-0001778,GEN-06719,2025-10-05,2025-10-07,Billing Inquiry,Low,Closed
TKT-0001779,GEN-03337,2026-01-08,2026-01-19,Billing Inquiry,Medium,Closed
TKT-0001780,GEN-09432,2025-12-20,2025-12-25,Service Interruption,Low,Closed
TKT-0001781,GEN-01018,2026-03-09,2026-03-17,Billing Inquiry,High,Closed
TKT-0001782,1195-OIYEJ,2025-07-27,2025-08-08,Billing Inquiry,Low,Closed
TKT-0001783,GEN-00318,2025-11-17,2025-11-27,Technical Support,Low,Closed
TKT-0001784,GEN-03547,2025-11-29,2025-12-09,Billing Inquiry,Low,Closed
TKT-0001785,GEN-02732,2025-10-09,2025-10-20,TECHNICAL SUPPORT,Low,CLOSED
TKT-0001786,GEN-00417,2025-08-17,2025-08-18,Technical Support,Low,Closed
TKT-0001787,GEN-05605,2026-01-21,2026-01-25,Service Interruption,Medium,Closed
TKT-0001788,5198-EFNBM,2026-02-25,2026-02-25,Billing Inquiry,Low,Closed
TKT-0001789,GEN-03199,2026-01-26,2026-01-31,Service Interruption,Low,Closed
TKT-0001790,3865-ZYKAD,2026-06-26,,Service Interruption,Low,Open
TKT-0001791,GEN-06160,2025-10-20,2025-10-21,Cancellation Request,Medium,Closed
TKT-0001792,6303-KFWSL,2026-04-24,,Technical Support,Low,Pending Customer
TKT-0001793,9489-JMTTN,2026-02-03,2026-02-06,Service Interruption,Low,Closed
TKT-0001794,2712-SYWAY,2025-11-29,2025-11-30,Service Interruption,Medium,Closed
TKT-0001795,GEN-06858,2026-05-25,2026-05-30,Technical Support,High,Closed
TKT-0001796,GEN-09590,2025-12-09,2025-12-10,Service Interruption,High,Closed
TKT-0001797,GEN-04256,2025-09-03,2025-09-13,Cancellation Request,High,Closed
TKT-0001798,3672-YITQD,2026-01-07,2026-01-18,New Service Request,Medium,Closed
TKT-0001799,5206-XZZQI,2025-08-27,2025-08-28,Technical Support,Low,Closed
TKT-0001800,GEN-01687,2026-01-18,2026-01-30,Technical Support,Medium,Closed
TKT-0001801,GEN-12019,2025-11-09,2025-11-13,Cancellation Request,Low,Closed
TKT-0001802,GEN-02226,2026-01-13,2026-01-16,Service Interruption,High,Closed
TKT-0001803,GEN-08341,2025-08-05,2025-08-12,Cancellation Request,Medium,Closed
TKT-0001804,GEN-08183,2026-05-21,2026-05-31,Service Interruption,Low,Closed
TKT-0001805,5512-IDZEI,2025-07-07,2025-07-12,Service Interruption,Low,Closed
TKT-0001806,GEN-07215,2025-07-30,2025-08-11,New Service Request,Medium,Closed
TKT-0001807,GEN-08844,2026-03-14,2026-03-26,Service Interruption,Low,Closed
TKT-0001808,7876-DNYAP,2025-07-15,2025-07-29,Billing Inquiry,Low,Closed
TKT-0001809,GEN-01750,2026-04-09,2026-04-20,Billing Inquiry,Low,Closed
TKT-0001810,1915-IOFGU,2025-08-01,2025-08-05,Technical Support,Low,Closed
TKT-0001811,GEN-01918,2026-02-06,2026-02-13,Billing Inquiry,Low,Closed
TKT-0001812,GEN-07155,2026-06-08,,Billing Inquiry,Low,Pending Customer
TKT-0001813,2107-FBPTK,2026-06-18,,Service Interruption,Low,Pending Customer
TKT-0001814,GEN-00906,2025-12-13,2025-12-27,Service Interruption,Medium,Closed
TKT-0001815,GEN-00382,2025-09-27,2025-10-04,Billing Inquiry,Low,Closed
TKT-0001816,5655-JSMZM,2025-08-21,2025-08-31,Cancellation Request,Low,Closed
TKT-0001817,7216-KAOID,2025-12-30,,Technical Support,Low,Open
TKT-0001818,GEN-00377,2025-12-28,2025-12-28,Technical Support,High,Closed
TKT-0001819,6267-DCFFZ,2026-06-25,2026-07-03,Technical Support,High,Closed
TKT-0001820,GEN-03387,2025-08-05,2025-08-08,Billing Inquiry,Medium,Closed
TKT-0001821,9053-EJUNL,2025-11-07,2025-11-12,Technical Support,Medium,Closed
TKT-0001822,GEN-09566,2025-10-11,2025-10-17,Billing Inquiry,Low,Closed
TKT-0001823,1131-QQZEB,2025-11-07,,Service Interruption,High,Pending Customer
TKT-0001824,GEN-10405,2025-10-12,2025-10-16,Billing Inquiry,Low,Closed
TKT-0001825,7971-HLVXI,2025-11-17,2025-11-19,Cancellation Request,Low,Closed
TKT-0001826,9365-SRSZE,2025-12-08,,Service Interruption,Low,Open
TKT-0001827,GEN-03415,2026-04-20,2026-04-21,Billing Inquiry,Medium,Closed
TKT-0001828,GEN-12025,2025-11-09,2025-11-11,Technical Support,Low,Closed
TKT-0001829,7521-AFHAB,2026-04-14,2026-04-23,Billing Inquiry,High,Closed
TKT-0001830,GEN-07388,2026-03-28,2026-04-01,Cancellation Request,Low,Closed
TKT-0001831,GEN-00331,2025-11-30,2025-12-03,Service Interruption,High,Closed
TKT-0001832,GEN-10031,2025-10-28,2025-10-31,Service Interruption,High,Closed
TKT-0001833,GEN-10035,2026-04-05,2026-04-17,Billing Inquiry,Low,Closed
TKT-0001834,GEN-04680,2026-02-09,2026-02-21,Billing Inquiry,Low,Closed
TKT-0001835,GEN-07384,2025-11-11,2025-11-23,Technical Support,Low,Closed
TKT-0001836,GEN-09624,2026-03-19,,Service Interruption,Medium,Pending Customer
TKT-0001837,GEN-09784,2025-12-18,2025-12-23,Billing Inquiry,High,Closed
TKT-0001838,6963-EZQEE,2026-05-17,2026-05-20,Billing Inquiry,Low,Closed
TKT-0001839,3223-WZWJM,2025-10-27,2025-10-29,Technical Support,Medium,Closed
TKT-0001840,GEN-12092,2026-04-25,2026-04-29,Technical Support,Low,Closed
TKT-0001841,GEN-07763,2026-04-03,2026-04-04,Billing Inquiry,Medium,Closed
TKT-0001842,GEN-01986,2025-08-03,2025-08-06,Technical Support,Medium,Closed
TKT-0001843,GEN-00279,2026-02-12,2026-02-23,Billing Inquiry,Medium,Closed
TKT-0001844,GEN-02469,2026-04-09,,Technical Support,Low,Pending Customer
TKT-0001845,GEN-00877,2026-01-09,2026-01-22,Cancellation Request,Low,Closed
TKT-0001846,GEN-08430,2026-03-18,2026-03-29,New Service Request,Low,Closed
TKT-0001847,4291-TPNFG,2026-06-21,2026-07-04,Service Interruption,Low,Closed
TKT-0001848,GEN-01243,2026-04-09,2026-04-12,Service Interruption,Low,Closed
TKT-0001849,GEN-08489,2026-02-28,2026-03-02,New Service Request,High,Closed
TKT-0001850,6502-KUGLL,2025-11-12,2025-11-17,Billing Inquiry,Low,Closed
TKT-0001851,GEN-02018,2026-04-24,2026-05-03,Cancellation Request,Low,Closed
TKT-0001852,GEN-02709,2026-05-31,,Cancellation Request,Low,Pending Customer
TKT-0001853,GEN-11498,2025-10-24,2025-11-04,Service Interruption,Low,Closed
TKT-0001854,GEN-10674,2026-04-24,2026-05-05,Cancellation Request,High,Closed
TKT-0001855,GEN-07232,2026-05-02,2026-05-09,New Service Request,Low,Closed
TKT-0001856,9928-BZVLZ,2025-08-16,2025-08-27,Service Interruption,Low,Closed
TKT-0001857,GEN-01005,2025-11-04,2025-11-13,Service Interruption,Low,Closed
TKT-0001858,9611-CTWIH,2025-08-01,2025-08-05,Technical Support,Medium,Closed
TKT-0001859,GEN-10095,2026-01-23,2026-02-01,Technical Support,Low,Closed
TKT-0001860,6029-WTIPC,2026-03-10,2026-03-18,Cancellation Request,Low,Closed
TKT-0001861,6464-KEXXH,2026-02-05,2026-02-11,New Service Request,Low,Closed
TKT-0001862,GEN-06099,2026-02-20,2026-02-23,Service Interruption,High,Closed
TKT-0001863,GEN-01938,2025-08-11,2025-08-13,Technical Support,Low,Closed
TKT-0001864,GEN-08748,2025-12-18,2025-12-29,Billing Inquiry,High,Closed
TKT-0001865,GEN-08077,2026-03-27,2026-03-28,Technical Support,Low,Closed
TKT-0001866,GEN-11913,2025-12-07,2025-12-17,New Service Request,Low,Closed
TKT-0001867,GEN-09821,2026-04-08,,Billing Inquiry,High,Pending Customer
TKT-0001868,GEN-07494,2026-01-20,2026-01-22,Technical Support,Low,Closed
TKT-0001869,GEN-10504,2026-03-03,2026-03-05,Cancellation Request,Low,Closed
TKT-0001870,4915-BFSXL,2025-12-06,2025-12-13,Billing Inquiry,High,Closed
TKT-0001871,8445-DNBAE,2025-07-17,2025-07-27,Cancellation Request,Medium,Closed
TKT-0001872,GEN-01556,2026-05-22,2026-05-27,Service Interruption,Low,Closed
TKT-0001873,GEN-04773,2026-06-05,2026-06-13,Cancellation Request,Low,Closed
TKT-0001874,7369-TRPFD,2026-06-25,2026-07-03,Cancellation Request,High,Closed
TKT-0001875,1919-RTPQD,2025-11-12,,Technical Support,Medium,Pending Customer
TKT-0001876,GEN-12658,2026-06-16,2026-06-29,Technical Support,Low,Closed
TKT-0001877,GEN-09946,2025-11-23,2025-11-26,Technical Support,Medium,Closed
TKT-0001878,0281-CNTZX,2026-04-24,,Billing Inquiry,Low,Pending Customer
TKT-0001879,0778-NELLA,2025-08-18,2025-08-31,Technical Support,Low,Closed
TKT-0001880,2873-ZLIWT,2025-10-31,,Billing Inquiry,Medium,Pending Customer
TKT-0001881,GEN-09022,2026-06-22,2026-07-03,Technical Support,Low,Closed
TKT-0001882,GEN-09403,2025-08-12,2025-08-25,Billing Inquiry,High,Closed
TKT-0001883,GEN-08626,2026-02-17,2026-02-24,Technical Support,Low,Closed
TKT-0001884,7883-ROJOC,2025-10-16,,Service Interruption,Low,Open
TKT-0001885,GEN-02908,2025-11-22,2025-11-25,Billing Inquiry,Low,Closed
TKT-0001886,GEN-11338,2025-07-05,2025-07-15,Technical Support,Low,Closed
TKT-0001887,GEN-04818,2025-11-17,2025-11-22,Technical Support,Low,Closed
TKT-0001888,GEN-02524,2025-08-03,2025-08-09,Service Interruption,Medium,Closed
TKT-0001889,GEN-03165,2026-04-05,,Service Interruption,High,Pending Customer
TKT-0001890,2604-XVDAM,2026-04-18,2026-04-28,Service Interruption,Low,Closed
TKT-0001891,GEN-00960,2026-05-16,2026-05-28,New Service Request,High,Closed
TKT-0001892,GEN-12040,2026-02-14,,Cancellation Request,High,Pending Customer
TKT-0001893,4163-HFTUK,2026-03-21,2026-03-26,Billing Inquiry,Low,Closed
TKT-0001894,GEN-03329,2026-05-04,,Billing Inquiry,Low,Open
TKT-0001895,GEN-10983,2025-12-16,2025-12-27,Cancellation Request,Medium,Closed
TKT-0001896,8380-MQINP,2026-04-12,,Technical Support,Low,Open
TKT-0001897,GEN-09310,2025-08-08,,Technical Support,Low,Pending Customer
TKT-0001898,7156-MHUGY,,,,Low,Closed
TKT-0001899,9625-RZFUK,2025-10-07,2025-10-17,Technical Support,Low,Closed
TKT-0001900,GEN-09131,2025-10-26,,New Service Request,Low,Open
TKT-0001901,1383-EZRWL,2026-04-10,2026-04-19,Service Interruption,Low,Closed
TKT-0001902,2657-VPXTA,2025-11-04,,Technical Support,Low,Pending Customer
TKT-0001903,3865-ZFZIB,2025-08-19,2025-08-24,Billing Inquiry,Low,Closed
TKT-0001904,8207-VVMYB,2026-03-17,2026-03-18,Billing Inquiry,Low,Closed
TKT-0001905,4418-LZMSV,2025-11-06,2025-11-07,Technical Support,Low,Closed
TKT-0001906,GEN-00298,2025-12-08,2025-12-19,Billing Inquiry,Low,Closed
 TKT-0001907 , 8314-HTWVE , 2025-09-27 , 2025-10-03 , new service request , HIGH , Closed 
TKT-0001908,9208-OLGAQ,2025-09-16,,Service Interruption,Medium,Pending Customer
TKT-0001909,0412-UCCNP,2025-08-20,2025-08-30,Billing Inquiry,Low,Closed
TKT-0001910,7188-CBBBA,2025-07-28,2025-08-02,Cancellation Request,Medium,Closed
TKT-0001911,GEN-03314,2025-11-23,2025-11-25,Service Interruption,Low,Closed
TKT-0001912,GEN-01376,2026-02-16,2026-02-28,Service Interruption,Low,Closed
TKT-0001913,1101-SSWAG,2026-04-14,2026-04-28,Service Interruption,Low,Closed
TKT-0001914,4967-WPNCF,2026-05-30,2026-06-09,Billing Inquiry,Low,Closed
TKT-0001915,2252-NKNSI,2025-10-08,2025-10-17,Service Interruption,High,Closed
TKT-0001916,GEN-02691,2026-05-19,2026-05-25,Technical Support,Low,Closed
TKT-0001917,GEN-06486,2026-05-29,2026-06-10,Service Interruption,Low,Closed
TKT-0001918,7169-YWAMK,2026-02-06,2026-02-09,Technical Support,Medium,Closed
TKT-0001919,4770-UEZOX,2026-03-16,2026-03-28,Technical Support,Low,Closed
TKT-0001920,GEN-05943,2025-09-13,,Cancellation Request,High,Pending Customer
TKT-0001921,GEN-09885,2025-12-29,,Technical Support,High,Pending Customer
TKT-0001922,GEN-12308,2025-09-17,2025-09-29,Cancellation Request,Medium,Closed
TKT-0001923,4818-QIUFN,2026-03-01,,New Service Request,Medium,Open
TKT-0001924,GEN-01401,2025-09-05,2025-09-06,Service Interruption,Low,Closed
TKT-0001925,GEN-09748,2025-08-16,2025-08-19,Billing Inquiry,Low,Closed
TKT-0001926,3679-XASPY,2026-05-01,2026-05-05,Billing Inquiry,Low,Closed
TKT-0001927,7110-BDTWG,2026-05-04,,New Service Request,Low,Open
TKT-0001928,GEN-10348,2025-07-24,2025-07-27,Technical Support,Medium,Closed
TKT-0001929,GEN-07773,2026-06-13,2026-06-22,Billing Inquiry,Medium,Closed
TKT-0001930,3811-VBYBZ,2025-07-01,,New Service Request,Low,Open
TKT-0001931,GEN-01582,2026-02-03,2026-02-06,Billing Inquiry,Medium,Closed
TKT-0001932,7493-GVFIO,2025-10-19,2025-10-31,Billing Inquiry,High,Closed
TKT-0001933,8587-XYZSF,2025-07-01,2025-07-14,Technical Support,Low,Closed
TKT-0001934,GEN-00778,2025-09-24,2025-09-27,Billing Inquiry,Low,Closed
TKT-0001935,GEN-04883,2026-06-23,2026-06-29,Billing Inquiry,Low,Closed
TKT-0001936,GEN-03700,2026-06-03,,Service Interruption,Low,Open
TKT-0001937,GEN-00045,2026-01-23,2026-02-04,Billing Inquiry,Low,Closed
TKT-0001938,GEN-10629,2025-07-04,2025-07-08,Service Interruption,Low,Closed
TKT-0001939,GEN-01583,2026-01-28,2026-02-04,Technical Support,Medium,Closed
TKT-0001940,3349-ANQNH,2025-11-15,2025-11-23,Cancellation Request,Low,Closed
TKT-0001941,GEN-07114,2026-06-15,2026-06-18,Billing Inquiry,Low,Closed
TKT-0001942,GEN-02607,2026-04-16,2026-04-16,New Service Request,Medium,Closed
TKT-0001943,GEN-08725,2026-05-10,2026-05-16,Service Interruption,Medium,Closed
TKT-0001944,9426-SXNHE,2026-03-14,2026-03-25,Technical Support,Low,Closed
TKT-0001945,GEN-06260,2025-09-18,2025-09-27,Service Interruption,High,Closed
TKT-0001946,2144-ESWKO,2026-02-14,2026-02-22,Technical Support,High,Closed
TKT-0001947,6993-OHLXR,2026-02-28,2026-03-13,Service Interruption,Medium,Closed
TKT-0001948,GEN-12532,2026-01-09,2026-01-18,Service Interruption,Low,Closed
TKT-0001949,GEN-00504,2026-03-31,2026-03-31,Technical Support,Medium,Closed
TKT-0001950,GEN-06814,2026-03-16,2026-03-23,Service Interruption,Low,Closed
TKT-0001951,GEN-11379,2025-11-03,2025-11-08,Billing Inquiry,Low,Closed
TKT-0001952,GEN-06110,2025-12-12,2025-12-25,Technical Support,Low,Closed
TKT-0001953,4627-MIHJH,2026-04-25,2026-04-28,Billing Inquiry,Low,Closed
 TKT-0001954 , GEN-05837 , 2026-01-27 , 2026-01-31 , Service Interruption , High , Closed 
TKT-0001955,GEN-11908,2025-12-17,,Service Interruption,Low,Pending Customer
TKT-0001956,GEN-11989,2026-03-18,2026-03-27,Cancellation Request,Medium,Closed
TKT-0001957,GEN-08246,2025-09-29,2025-10-04,Technical Support,Low,Closed
TKT-0001958,3148-AOIQT,2025-07-01,,Service Interruption,Low,Open
TKT-0001959,GEN-10558,2026-02-13,,Technical Support,Low,Pending Customer
TKT-0001960,GEN-11184,2025-07-07,2025-07-09,Technical Support,Low,Closed
TKT-0001961,1518-OMDIK,2026-05-07,2026-05-15,Billing Inquiry,Medium,Closed
TKT-0001962,GEN-10434,2025-08-08,,Billing Inquiry,Medium,Open
TKT-0001963,GEN-07424,2025-10-04,2025-10-05,Billing Inquiry,Low,Closed
TKT-0001964,GEN-10054,2026-06-13,2026-06-17,Service Interruption,Medium,Closed
TKT-0001965,5505-OVWQW,2026-01-14,2026-01-21,Billing Inquiry,High,Closed
TKT-0001966,GEN-04197,2025-07-21,2025-08-03,Billing Inquiry,High,Closed
TKT-0001967,GEN-10615,2026-05-21,2026-06-03,Technical Support,Low,Closed
TKT-0001968,GEN-12587,2026-06-09,2026-06-20,Technical Support,High,Closed
TKT-0001969,GEN-05129,2025-07-05,2025-07-18,New Service Request,Medium,Closed
TKT-0001970,3259-FDWOY,2026-03-27,,Billing Inquiry,Low,Pending Customer
TKT-0001971,GEN-00190,2025-10-31,,New Service Request,High,Pending Customer
TKT-0001972,GEN-04855,2025-08-25,,New Service Request,Low,Pending Customer
TKT-0001973,GEN-05528,2025-08-08,2025-08-20,Service Interruption,Medium,Closed
TKT-0001974,GEN-07751,2025-12-19,2025-12-22,Technical Support,Medium,Closed
TKT-0001975,GEN-09472,2026-03-20,2026-03-24,Billing Inquiry,Low,Closed
TKT-0001976,GEN-08691,2026-06-22,2026-07-05,Billing Inquiry,Low,Closed
TKT-0001977,GEN-10002,2026-04-25,,Billing Inquiry,Low,Pending Customer
TKT-0001978,GEN-02722,2026-03-30,2026-04-03,Billing Inquiry,Medium,Closed
 TKT-0001979 , GEN-03186 , 2025-07-23 , 2025-07-25 , Service Interruption , Low , Closed 
TKT-0001980,GEN-09089,2026-05-29,2026-06-08,Technical Support,High,Closed
TKT-0001981,9424-CMPOG,2026-04-24,2026-05-02,Technical Support,High,Closed
TKT-0001982,4160-AMJTL,2026-01-02,2026-01-16,Technical Support,Low,Closed
TKT-0001983,3507-GASNP,2025-07-28,2025-08-10,Billing Inquiry,Low,Closed
TKT-0001984,5380-WJKOV,2025-09-12,2025-09-23,Service Interruption,Low,Closed
TKT-0001985,1891-QRQSA,2025-11-10,2025-11-21,Technical Support,Low,Closed
TKT-0001986,1608-GMEWB,2025-09-09,2025-09-10,Technical Support,Low,Closed
TKT-0001987,GEN-08552,2025-10-02,2025-10-04,Service Interruption,High,Closed
TKT-0001988,GEN-04703,2026-06-16,2026-06-16,Billing Inquiry,Low,Closed
TKT-0001989,GEN-01062,2025-08-22,2025-08-25,Cancellation Request,High,Closed
TKT-0001990,GEN-00300,2026-06-02,2026-06-12,Technical Support,Low,Closed
TKT-0001991,GEN-05201,2026-01-22,2026-02-05,New Service Request,High,Closed
TKT-0001992,GEN-11599,2025-12-27,,Billing Inquiry,Medium,Pending Customer
TKT-0001993,3420-ZDBMA,2025-07-05,2025-07-07,Service Interruption,Low,Closed
TKT-0001994,9214-EKVXR,2026-05-28,2026-06-07,Technical Support,High,Closed
TKT-0001995,9114-AAFQH,2025-10-26,,Technical Support,Low,Pending Customer
TKT-0001996,GEN-09521,2025-10-11,2025-10-22,Billing Inquiry,Low,Closed
TKT-0001997,GEN-10614,2026-02-07,,Technical Support,Medium,Open
TKT-0001998,GEN-10462,2026-03-25,2026-04-07,Technical Support,High,Closed
TKT-0001999,3914-FDRHP,2026-04-04,2026-04-05,Cancellation Request,Medium,Closed
TKT-0002000,1839-UMACK,2025-09-07,2025-09-08,Service Interruption,Low,Closed
TKT-0002001,GEN-05605,2026-03-16,2026-03-17,New Service Request,Medium,Closed
TKT-0002002,7621-VPNET,2025-07-14,2025-07-20,Service Interruption,High,Closed
TKT-0002003,GEN-08641,2025-08-30,2025-09-09,Billing Inquiry,High,Closed
TKT-0002004,GEN-11300,2025-12-11,2025-12-17,Service Interruption,Low,Closed
TKT-0002005,9631-XEYKE,2026-01-22,2026-01-28,Service Interruption,High,Closed
TKT-0002006,GEN-01652,2026-01-14,,Billing Inquiry,Medium,Open
TKT-0002007,GEN-08216,2025-09-30,,Service Interruption,High,Pending Customer
TKT-0002008,4143-HHPMK,2025-11-22,2025-11-28,Billing Inquiry,Low,Closed
TKT-0002009,7139-JZFVG,2026-02-12,2026-02-12,Billing Inquiry,Low,Closed
TKT-0002010,GEN-08621,2025-12-13,2025-12-16,Service Interruption,Low,Closed
TKT-0002011,7876-AEHIG,2025-07-23,2025-08-01,Billing Inquiry,Medium,Closed
TKT-0002012,1156-ZFYDO,2026-03-08,2026-03-11,Technical Support,Low,Closed
TKT-0002013,GEN-07959,2026-06-21,2026-07-01,Billing Inquiry,Low,Closed
TKT-0002014,GEN-06103,2026-04-06,2026-04-20,New Service Request,Low,Closed
TKT-0002015,GEN-10901,2025-11-17,2025-11-28,Cancellation Request,Low,Closed
TKT-0002016,GEN-00114,2025-11-17,2025-12-01,Billing Inquiry,Medium,Closed
TKT-0002017,GEN-10797,2026-03-09,,Billing Inquiry,Medium,Pending Customer
TKT-0002018,GEN-03768,2025-08-27,2025-09-02,Billing Inquiry,High,Closed
TKT-0002019,0932-YIXYU,2026-03-19,2026-03-31,Billing Inquiry,Low,Closed
TKT-0002020,GEN-03708,2026-01-02,2026-01-14,Cancellation Request,Low,Closed
TKT-0002021,8079-XRJRS,2025-12-11,,Technical Support,Low,Pending Customer
TKT-0002022,2773-OVBPK,2026-03-11,2026-03-17,New Service Request,High,Closed
TKT-0002023,6906-MPARY,2026-01-12,2026-01-23,New Service Request,Medium,Closed
TKT-0002024,GEN-04540,2025-11-05,2025-11-17,Technical Support,High,Closed
TKT-0002025,GEN-11166,2026-03-14,2026-03-28,Billing Inquiry,High,Closed
TKT-0002026,GEN-05843,2026-01-22,2026-02-01,New Service Request,Low,Closed
TKT-0002027,6139-ZZRBQ,2025-11-26,2025-12-05,Cancellation Request,Medium,Closed
TKT-0002028,GEN-04401,2026-02-23,,Cancellation Request,High,Open
TKT-0002029,GEN-10050,2026-06-20,,Technical Support,Low,Open
TKT-0002030,2725-IWWBA,2026-03-24,2026-03-25,Service Interruption,Low,Closed
TKT-0002031,GEN-12723,2026-02-16,2026-02-26,Technical Support,Low,Closed
TKT-0002032,GEN-05443,2026-06-08,,Technical Support,Low,Pending Customer
TKT-0002033,GEN-00957,2026-04-17,,Cancellation Request,Low,Open
TKT-0002034,GEN-11725,2025-12-09,2025-12-17,Service Interruption,High,Closed
TKT-0002035,9948-YPTDG,2025-10-15,2025-10-18,Technical Support,Low,Closed
TKT-0002036,GEN-00687,2026-05-29,2026-06-09,Service Interruption,Medium,Closed
TKT-0002037,GEN-04437,2026-05-19,,Technical Support,Medium,Open
TKT-0002038,GEN-01176,2025-09-26,2025-10-09,Technical Support,Low,Closed
TKT-0002039,3627-FCRDW,2025-08-12,2025-08-15,Technical Support,Low,Closed
TKT-0002040,3733-UOCWF,2026-01-05,,Service Interruption,Low,Pending Customer
TKT-0002041,GEN-02439,2025-12-16,2025-12-21,Service Interruption,Medium,Closed
TKT-0002042,GEN-09706,2025-09-22,2025-09-23,Cancellation Request,Low,Closed
TKT-0002043,GEN-08292,2026-01-10,2026-01-24,Service Interruption,High,Closed
TKT-0002044,GEN-06919,2025-07-15,2025-07-27,New Service Request,Low,Closed
TKT-0002045,GEN-07434,2025-09-25,2025-10-08,Technical Support,Medium,Closed
